trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9411996443478158}",30,0,-169.43665392841268,"{0: 14, 1: 7, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.9161272543446541}",25,0,-43.047760293563805,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.9, 'e': 0.8917227616831944}",20,0,-125.43529316022584,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.9, 'e': 0.8679683744074644}",20,13,-32.780447632757294,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.9, 'e': 0.84484677451711}",20,0,-138.78166618921438,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.9, 'e': 0.8223411053418056}",20,0,-67.96012228063596,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.8004349592519954}",20,0,-179.11357181818923,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.9, 'e': 0.7791123656970042}",25,0,-107.58714767573316,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.7583577795617991}",25,0,-123.40192748356226,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.9, 'e': 0.738156069833912}",20,0,-64.76801577986099,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.7184925085722617}",30,0,-152.6448482293983,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.9, 'e': 0.6993527601698318}",25,0,-213.40786344244177,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 5}",0
13,False,"{'a': 0.9, 'e': 0.6807228709023792}",20,0,-98.96895965649985,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.6625892587555506}",20,0,-117.87471713458082,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.6449387035229929}",20,3,-69.36829142741243,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.9, 'e': 0.6277583371682365}",30,16,-134.5102836617907,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 3}",1
17,False,"{'a': 0.9, 'e': 0.6110356344433279}",20,0,-96.45434688825176,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.5947584037573684}",25,0,-66.75125750465719,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
