trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.33593598600421,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.67895778154517,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.22899222959333,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.59545120944112,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,17,1.813913486752798,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.28510212622592,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,9,-64.40834844364754,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.94755146083426,"{0: 17, 1: 7, 2: 2, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.81304613431226,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.20256984835805,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-151.41512546682122,"{0: 19, 1: 7, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-250.97184129354045,"{0: 16, 1: 8, 2: 7, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.47514992515006,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-69.10613925225735,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.06858907141276,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.46155519324552,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.27077866777991,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.17272574090386,"{0: 12, 1: 6, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.632594195899536,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.432121118100905,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-24.240143810704023,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
